borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,easting,longitude,latitude,northing,Creative Enterprise Zones,Cultural Venue Type,runtime
Waltham Forest,http://www.artworksproject.com/docs/info.html,Blackhorse Lane Studios,10091183452,E09000031,114 blackhorse lane,,,Higham Hill,E05000600,535687.1281757742,-0.03940136558597041,51.59139520232052,189987.00208975404,Blackhorse Lane,Artists workspaces,11/27/2022
Waltham Forest,www.blackhorseworkshop.co.uk,,10091186505,E09000031,1-2 Sutherland Rd Path,,,Higham Hill,E05000600,535731.1174876682,-0.03873795533581777,51.59204954970654,190060.98220299877,Blackhorse Lane,Artists workspaces,11/27/2022
Waltham Forest,http://gnomehouse.org.uk/,Gnome House Community Print Making Workshop & Café,10091186484,E09000031,Gnome House, 7 Blackhorse Lane, London,William Morris,E05000608,535834.0001221001,-0.03901529774953423,51.58865429224359,189630.00012210011,Blackhorse Lane,Community centres,11/27/2022
Waltham Forest,http://www.blackhorseworkshop.co.uk/,Blackhorse Community Workshop & Café,10091186505,E09000031,1-2 Sutherland Road Path, London,NA,Higham Hill,E05000600,535955.0001221001,-0.03714364812398539,51.59154590809605,189955.00012210011,Blackhorse Lane,Community centres,11/27/2022
Waltham Forest,https://www.meanwhilespace.com/contact,Meanwhile Space,100023583740,E09000031,Switchboard Studios,153-157 Blackhorse Lane,,,,535824.0001221001,-0.038983834598896386,51.592736845094116,190084.00012210011,Blackhorse Lane,Creative workspaces,11/27/2022
Waltham Forest,https://blackhorselane.com,Blackhorse Atelier,10091183452,E09000031,114b Blackhorse Lane,,,Higham Hill,E05000600,535687.1281757742,-0.03940136558597041,51.59139520232052,189987.00208975404,Blackhorse Lane,Fashion and design,11/27/2022
Waltham Forest,,Fashionhart Ltd,2.00001E+11,E09000031,3 Highams Lodge Business Centre,Blackhorse Lane ,,Higham Hill,E05000600,535688.1301102559,-0.039400464444429566,51.591080457257945,189952.01195703517,Blackhorse Lane,Fashion and design,11/27/2022
Waltham Forest,www.blackhorseworkshop.co.uk/,Blackhorse Workshop,10091186505,E09000031,Blackhorse Workshop,1–2 Sutherland Rd Path,,Higham Hill,E05000600,535731.1174876682,-0.03873795533581777,51.59204954970654,190060.98220299877,Blackhorse Lane,Makerspaces,11/27/2022
Waltham Forest,www.barkstudio.co.uk,Bark Studio,100000000000,E09000031,1 Blenheim Road,Waltham Forest,,William Morris,E05000608,535917.000122197,-0.03779031464124619,51.58927235737449,189701.00012159348,Blackhorse Lane,Music recording studios,11/27/2022
Waltham Forest,http://www.replica.co.uk,Replica Ltd,1.00024E+11,E09000031,Uplands Business Park,11a Blackhorse Lane,,Higham Hill,E05000600,535721.0001221001,-0.04049050607871307,51.59228535566983,190031.00012210011,Blackhorse Lane,Prop and costume making,11/27/2022
Waltham Forest,,Wild Card Brewery Taproom,,E09000031,"Unit 2, Lockwood Way",Walthamstow,Walthamstow,Higham Hill,E05000600,535704.0001221001,-0.04062555256464023,51.59485077515697,190316.00012210011,Blackhorse Lane,Pubs,11/27/2022
Waltham Forest,https://blackhorselane.com,Blackhorse Atelier,10091183452,E09000031,114b Blackhorse Lane,,,Higham Hill,E05000600,535911.0001221001,-0.03780716273845239,51.59089148128781,189881.00012210011,Blackhorse Lane,Textile design,11/27/2022
Waltham Forest,,Fashionhart Ltd,200001421092,E09000031,3 Highams Lodge Business Centre,Blackhorse Lane ,,Higham Hill,E05000600,535912.0001221001,-0.03780629143526051,51.59057669188232,189846.00012210011,Blackhorse Lane,Textile design,11/27/2022
Waltham Forest,,Routine 2000 (Uk) Limited,100023584828,E09000031,Unit 2,Lockwood Way,,Higham Hill,E05000600,535741.0001221001,-0.040088565621581446,51.594913756122224,190324.00012210011,Blackhorse Lane,Textile design,11/27/2022
Waltham Forest,http://www.waglandtextiles.com,Wagland Textiles Ltd,200001421325,E09000031,1Hookers Road,,,Higham Hill,E05000600,535772.0001221001,-0.03988581667566401,51.58922643822243,189692.00012210011,Blackhorse Lane,Textile design,11/27/2022
