borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,easting,longitude,latitude,northing,Creative Enterprise Zones,Cultural Venue Type,runtime
Croydon,www.turf-projects.com,,200000000000,E09000008,"46/47 Trinity Court (Ground Floor),","Whitgift Shopping Centre,",,Fairfield,E05011468,532180.1841605377,-0.0990104138512229,51.37635390109545,165970.14209868602,Croydon Creatives,Artists workspaces,11/27/2022
Croydon,https://fairfield.co.uk/,Fairfield Halls ,100022917675,E09000008,Park Ln,,,Fairfield,E05011468,532416.1482631542,-0.09577807383074295,51.3725243869017,165550.2287229956,Croydon Creatives,Arts centres,11/27/2022
Croydon,,David Lean Cinema,200001222331,E09000008,,Katherine St,,Fairfield,E05011468,532417.0001221001,-0.09740406003535503,51.37163655625374,165393.00012210011,Croydon Creatives,Cinemas,11/27/2022
Croydon,,Vue Croydon,010001004802,E09000008,,14 High St,,Fairfield,E05011468,532270.0001221001,-0.09948180925774962,51.37247073348183,165482.00012210011,Croydon Creatives,Cinemas,11/27/2022
Croydon,,The Eagle Community Centre,100022902578,E09000008,52 Tamworth Road,Croydon,NA,Broad Green,E05000149,531974.0001221001,-0.10368260097368151,51.37374398241961,165616.00012210011,Croydon Creatives,Community centres,11/27/2022
Croydon,http://matthewsyard.com,Matthews Yard,10090382144,E09000008,Matthews Yard,1 Matthews Yard,Off Surrey Street,Fairfield,E05011468,532270.0001221001,-0.09951642784834049,51.371634872541,165389.00012210011,Croydon Creatives,Creative co-working desk space,11/27/2022
Croydon,https://fairfield.co.uk,Fairfield Hall (closed for refurbishment),,,71 Park Lane,,,,,532416.1482631542,-0.09577807383074295,51.3725243869017,165550.2287229956,Croydon Creatives,Dance performance venues,11/27/2022
Croydon,http://www.matthewsyard.com/venue/theatre-utopia/,Theatre Utopia,10090382144,E09000008,1 Matthews Yard,,,Fairfield,E05011468,532047.230527503,-0.10109493638912355,51.372161063868425,165500.23737080558,Croydon Creatives,Dance performance venues,11/27/2022
Croydon,http://croydondanceacademy.com,The Croydon Dance Academy,,,68-74 Church Street,,,,,531861.267505215,-0.10370062726075861,51.37377700756415,165675.19629164512,Croydon Creatives,Dance rehearsal studios,11/27/2022
Croydon,https://fairfield.co.uk,Fairfield Hall (closed for refurbishment),,,71 Park Lane,,,,,532416.1482631542,-0.09577807383074295,51.3725243869017,165550.2287229956,Croydon Creatives,Dance rehearsal studios,11/27/2022
Croydon,http://www.matthewsyard.com/venue/theatre-utopia/,Theatre Utopia,10090382144,E09000008,1 Matthews Yard,,,Fairfield,E05011468,532047.230527503,-0.10109493638912355,51.372161063868425,165500.23737080558,Croydon Creatives,Dance rehearsal studios,11/27/2022
Croydon,http://www.pewterhooter.com,Pewterhooter Limited,10001008182,E09000008,16 South End,Croydon,,Fairfield,E05011468,532411.0001221001,-0.09771636963898334,51.36618239323503,164786.00012210011,Croydon Creatives,Jewellery design,11/27/2022
Croydon,,Sole of London Ltd,200001186406,E09000008,D S House,306 High Street,,Fairfield,E05011468,532400.0001221001,-0.097824393239765,51.36738931686354,164920.00012210011,Croydon Creatives,Jewellery design,11/27/2022
Croydon,,Croydon central library,100022917682,E09000008,Katharine Street,Croydon,,Fairfield,E05011468,532381.0001221001,-0.09793181334586268,51.37138430716383,165364.00012210011,Croydon Creatives,Libraries,11/27/2022
Croydon,http://www.museumofcroydon.com/,Museum of Croydon,100022917682,E09000008,Central Library,Croydon Clocktower,Katharine Street,Fairfield,E05011468,532381.0001221001,-0.09793181334586268,51.37138430716383,165364.00012210011,Croydon Creatives,Museums and public galleries,11/27/2022
