borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,easting,longitude,latitude,northing,Creative Enterprise Zones,Cultural Venue Type,runtime
Hammersmith and Fulha,https://www.spr.ac.uk/,Society for Psychical Research,34037603,E09000013,1 Vernon Mews ,West Kensington,,Avonmore and Brook Green,E05000252,524116.84815820836,-0.21030917426154164,51.49391402689298,178845.36763117422,Hammersmith and Fulham,Archives,11/27/2022
Hammersmith and Fulha,https://www.vam.ac.uk/info/archive-of-art-and-design,V&A Archive of Art and Design,34062985,E09000013,Blythe House 23 Blythe Road,,,Avonmore and Brook Green,E05000252,523864.9092002048,-0.21384172436352888,51.496413877812444,179117.31327073695,Hammersmith and Fulham,Archives,11/27/2022
Hammersmith and Fulha,https://www.vam.ac.uk/collections/theatre-performance,V&A Department of Theatre and Performance,34062985,E09000013,23 Blythe Road,,,Avonmore and Brook Green,E05000252,523864.9092002048,-0.21384172436352888,51.496413877812444,179117.31327073695,Hammersmith and Fulham,Archives,11/27/2022
Hammersmith and Fulha,,Harrods Archive,34142299,E09000013,68-72 Hammersmith Road,,,Avonmore and Brook Green,E05000252,523884.9006060949,-0.2136265321280765,51.49454912264182,178910.35260050406,Hammersmith and Fulham,Archives,11/27/2022
Hammersmith and Fulham,www.acava.org,Faroe Rd,34034840,E09000013,23 - 29 Faroe Rd,,,Avonmore and Brook Green,E05000252,523767.9355039309,-0.21515404976425173,51.498592089894295,179357.26679393445,Hammersmith and Fulham,Artists workspaces,11/27/2022
Hammersmith and Fulham,,"Vue Shepherd's Bush



",000034141269,E09000013,Westfield London Shopping Centre,Ariel Way,"
",Shepherd's Bush Green,E05000263,523531.0001221001,-0.21982985509256242,51.50708847547983,180240.00012210011,Hammersmith and Fulham,Cinemas,11/27/2022
Hammersmith and Fulham,,William Church TRA Hall ,34119379,E09000013,60 Lime Grove,Hammersmith And Fulham,NA,Shepherd's Bush Green,E05000263,523087.0001221001,-0.22640851693476857,51.502457592664086,179714.00012210011,Hammersmith and Fulham,Community centres,11/27/2022
Hammersmith and Fulham,,Kathy Dolan Centre ,34135006,E09000013,78 White City Close,Hammersmith And Fulham,NA,College Park and Old Oak,E05000253,523135.0001221001,-0.22540606228878346,51.51045560415566,180605.00012210011,Hammersmith and Fulham,Community centres,11/27/2022
Hammersmith and Fulham,,Springvale Estate Residents Hall,34141098,E09000013,Blythe Road,Hammersmith And Fulham,NA,Avonmore and Brook Green,E05000252,524074.0001221001,-0.21240927765122625,51.49674100800208,179102.00012210011,Hammersmith and Fulham,Community centres,11/27/2022
Hammersmith and Fulham,www.creightonhouse.co.uk,West Kensington Community Hall,34070106,E09000013,80 Lillie Road,Hammersmith And Fulham,NA,North End,E05000258,525003.0001221001,-0.19946574986831445,51.48552591579122,177877.00012210011,Hammersmith and Fulham,Community centres,11/27/2022
Hammersmith and Fulham,,White City Community Centre,34128630,E09000013,India Way,Hammersmith And Fulham,NA,Wormholt and White City,E05000265,522713.0001221001,-0.2314589482305221,51.51121255659474,180679.00012210011,Hammersmith and Fulham,Community centres,11/27/2022
Hammersmith and Fulham,,Gibbs Green Hall,34141100,E09000013,Gibbs Green,Hammersmith And Fulham,NA,North End,E05000258,524784.0001221001,-0.202450967638396,51.489834647454636,178351.00012210011,Hammersmith and Fulham,Community centres,11/27/2022
Hammersmith and Fulham,http://www.upg.org.uk,Masbro Centre,34034846,E09000013,87 Masbro' Road,Hammersmith And Fulham,NA,Addison,E05000250,523921.0001221001,-0.21449829549308605,51.49969571977298,179427.00012210011,Hammersmith and Fulham,Community centres,11/27/2022
Hammersmith and Fulham,lyttonresidents.blogspot.com,Lytton Estate Community Hall,34128657,E09000013,North End Crescent,Hammersmith And Fulham,NA,Avonmore and Brook Green,E05000252,524552.0001221001,-0.20567652288927524,51.49280694286175,178676.00012210011,Hammersmith and Fulham,Community centres,11/27/2022
Kensington and Chelsea,,Nevern Place,217058060,E09000020,Notting Hill Housing Association,Flat 1a,1 Nevern Place,Earl's Court,E05009395,525418.0001221001,-0.19320702967159792,51.492624455557234,178677.00012210011,Hammersmith and Fulham,Community centres,11/27/2022
