borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,easting,longitude,latitude,northing,Creative Enterprise Zones,Cultural Venue Type,runtime
Lambeth,https://blackculturalarchives.org/,Black Cultural Archives,10091118537,E09000022,1 Windrush Square ,Brixton,,Coldharbour,E05000420,530856.6424503254,-0.11457231558598271,51.46051637848736,175299.11384671455,Brixton,Archives,11/27/2022
Lambeth,https://www.lambeth.gov.uk/places/lambeth-archives,Lambeth Archives,100022000000,E09000022,Minet Library ,52 Knatchbull Road,,Vassall,E05000436,531463.3086759564,-0.10539023539149628,51.47129501124588,176513.9264663296,Brixton,Archives,11/27/2022
Lambeth,http://www.scrss.org.uk/,Society for Cooperation in Russian and Soviet Studies,100023000000,E09000022,320 Brixton Road,,,Ferndale,E05000421,530947.4352571223,-0.11290302876996165,51.469284904018586,176276.97361041245,Brixton,Archives,11/27/2022
Lambeth,https://www.globaljustice.org.uk/,World Development Movement,100023000000,E09000022,25 Beehive Place,,,Coldharbour,E05000420,530888.4670184652,-0.11397275385476398,51.46394243027067,175681.09162122273,Brixton,Archives,11/27/2022
Lambeth,http://www.typearchive.org/,Type Museum,100024000000,E09000022,100 Hackford Road,,,Vassall,E05000436,530729.4659051017,-0.11587070216389726,51.47344230717261,176733.87790523987,Brixton,Archives,11/27/2022
Lambeth,www.ascstudios.co.uk,Stockwell Road,10091846274,E09000022,3rd Floor,246 Stockwell Road,,Ferndale,E05000421,530839.477273755,-0.1146473546903638,51.46469069280385,175763.07661710656,Brixton,Artists workspaces,11/27/2022
Lambeth,http://www.warriorstudios.org/,,200000459971,E09000022,241 Coldharbour Lane,,,Coldharbour,E05000420,531679.2725498289,-0.10254158812044459,51.46498994472037,175818.05905388418,Brixton,Artists workspaces,11/27/2022
Lambeth,www.artcoreint.net,Arch 258,10023854148,E09000022,Arch 258 Hardess St,,,Herne Hill,E05000423,531754.2541369416,-0.1014576932614554,51.46508929942816,175831.0559766806,Brixton,Artists workspaces,11/27/2022
Lambeth,http://www.clockworkstudios.co.uk/,STUDIO 27,10093379709,E09000022,Southwell Road,,,Herne Hill,E05000423,531943.2056071535,-0.09868434292908623,51.46634830193853,175976.0271103441,Brixton,Artists workspaces,11/27/2022
Lambeth,http://www.coldharbourlondon.com/,coldharbour studios,100000000000,E09000022,26 - 34 Southwell Road,,,Herne Hill,E05000423,531943.2056071535,-0.09868434292908623,51.46634830193853,175976.0271103441,Brixton,Artists workspaces,11/27/2022
Lambeth,http://block336.com/,,10091845237,E09000022,336 Brixton Road,,,Ferndale,E05000421,530928.4446762993,-0.11322347338270798,51.46814798541814,176149.99981927092,Brixton,Artists workspaces,11/27/2022
Lambeth,www.acme.org.uk,Glassyard,10090201945,E09000022,276 Oak Square,Stockwell,,Larkhall,E05000425,530415.5577640429,-0.12058116199260899,51.468841704971965,176213.98397084523,Brixton,Artists workspaces,11/27/2022
Lambeth,www.ascstudios.co.uk,Brixton Village,10090196125,E09000022,1st Floors,Brixton Village Market,,Coldharbour,E05000420,531044.4319837763,-0.111784377236087,51.4625492819401,175530.11856107443,Brixton,Artists workspaces,11/27/2022
Lambeth,www.artcoreint.net,Bureau Of Silly Ideas,100023573059,E09000022,Arches 17 & 555 Valentia Place,,,Coldharbour,E05000420,531067.4257667075,-0.11144161590449995,51.462831529106005,175562.11233983125,Brixton,Artists workspaces,11/27/2022
Lambeth,,Ritzy Picturehouse,100023570920,E09000022,,Brixton Oval,Coldharbour Lane,Coldharbour,E05000420,531074.0001221001,-0.1130351271824491,51.46075630482703,175274.00012210011,Brixton,Cinemas,11/27/2022
Lambeth,https://www.whirledcinema.com/,Whirled Cinema,010023854149,E09000022,259-260 Hardess Street,Loughborough Junction,,Herne Hill,E05000423,531977.0001221001,-0.09987577028647095,51.46457289476914,175722.00012210011,Brixton,Cinemas,11/27/2022
Lambeth,http://www.photofusion.org/photography-exhibitions/#,Photofusion Gallery,100023388443,E09000022,17A Electric Ln,Brixton,NA,Coldharbour,E05000420,531121.0001221001,-0.11233367988207232,51.46135657966503,175342.00012210011,Brixton,Commercial galleries,11/27/2022
