borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,easting,longitude,latitude,northing,Creative Enterprise Zones,Cultural Venue Type,runtime
Hounslow,https://www.waterandsteam.org.uk/,London Museum of Water & Steam,100023000000,E09000018,Green Dragon Lane, Brentford,,Brentford,E05000347,518562.96176866756,-0.29051757292184877,51.489055494314385,178172.06098101294,Great West Creatives,Archives,11/27/2022
Hounslow,https://www.leprosymission.org/,Leprosy Mission International,100023000000,E09000018,80 Windmill Road,Brentford,,Syon,E05000364,517275.6460519866,-0.30904398921805387,51.489612635736634,178204.1211853508,Great West Creatives,Archives,11/27/2022
Hounslow,https://www.gsk.com/en-gb/about-us/our-history/gsk-heritage-archives/,GlaxoSmithKline Heritage Archives,200004000000,E09000018,GSK House 980 Great West Road,Brentford,,Brentford,E05000347,516822.04757296335,-0.315612974041108,51.488699050526805,178092.0273251942,Great West Creatives,Archives,11/27/2022
Hounslow,http://www.visitgunnersbury.org/,Gunnersbury Park Museum,200004000000,E09000018,Gunnersbury Park Popes Lane,,,Brentford,E05000347,518826.91055321356,-0.2863214492514708,51.499543486568186,179344.95110947615,Great West Creatives,Archives,11/27/2022
Hounslow,www.brentfordgallery.co.uk,,10001273963,E09000018,Johnsons Island,Catherine Wheel Rd,,Syon,E05000364,517548.295158761,-0.3053888340585829,51.482249750980586,177391.36030008015,Great West Creatives,Artists workspaces,11/27/2022
Hounslow,http://www.madeatkewbridge.co.uk,The Forge / Diesel House Studios,100023407522,E09000018,London Museum of Water and Steam,Green Dragon Lane,,Brentford,E05000347,518562.96176866756,-0.29051757292184877,51.489055494314385,178172.06098101294,Great West Creatives,Artists workspaces,11/27/2022
Hounslow,https://www.watermans.org.uk/,Watermans Arts Centre,100023407377,E09000018,40 High St,Brentford ,,Brentford,E05000347,518049.17845020886,-0.29804237060391664,51.485768357508256,177794.40794052195,Great West Creatives,Arts centres,11/27/2022
Hounslow,,Watermans Art Centre,100023407377,E09000018,,40 High St,,Brentford,E05000347,518269.0001221001,-0.29647837453144144,51.48525779232691,177686.00012210011,Great West Creatives,Cinemas,11/27/2022
Hounslow,,Mission Hall Community Centre,100023407847,E09000018,Mission Square,Hounslow,NA,Brentford,E05000347,518219.4000854939,-0.29712186571216226,51.48716295184001,177896.80010989308,Great West Creatives,Community centres,11/27/2022
Hounslow,,Clayponds Community Centre,10001273919,E09000018,Clayponds Gardens,Hounslow,NA,Brentford,E05000347,517798.0001221001,-0.30291021424455583,51.49475816443466,178732.00012210011,Great West Creatives,Community centres,11/27/2022
Hounslow,,Gunnersbury Close,10091693280,E09000018,Chiswick High Road,Hounslow,NA,Turnham Green,E05000365,519979.0001221001,-0.27160219332765767,51.49171075955329,178444.00012210011,Great West Creatives,Community centres,11/27/2022
Hounslow,https://www.watermans.org.uk,Watermans Arts Centre,100023407377,E09000018,40 High Stree,,,Brentford,E05000347,518049.17845020886,-0.29804237060391664,51.485768357508256,177794.40794052195,Great West Creatives,Dance performance venues,11/27/2022
Hounslow,https://www.watermans.org.uk,Watermans Arts Centre,100023407377,E09000018,40 High Stree,,,Brentford,E05000347,518049.17845020886,-0.29804237060391664,51.485768357508256,177794.40794052195,Great West Creatives,Dance rehearsal studios,11/27/2022
Hounslow,,Black Astrum Limited,10091851872,E09000018,Prospect House,67 Boston Manor Road,,Brentford,E05000347,517112.0001221001,-0.31300701805081826,51.48898620574439,178074.00012210011,Great West Creatives,Jewellery design,11/27/2022
Hounslow,,Brentford Library ,100023408161,E09000018,Boston Manor Road,Brentford,,Brentford,E05000347,517605.3001098931,-0.3060075435133904,51.486100934612296,177764.40008549392,Great West Creatives,Libraries,11/27/2022
Hounslow,https://www.musicalmuseum.co.uk/,Musical Museum,10001271544,E09000018,399 High St,Brentford,NA,Brentford,E05000347,518604.3001098931,-0.2915684349391078,51.48739873608625,177932.00012210011,Great West Creatives,Museums and public galleries,11/27/2022
Hounslow,www.​waterandsteam.​org.​uk,The London Museum of Water and Steam,100023407522,E09000018,Green Dragon Lane,Brentford,NA,Brentford,E05000347,518782.9000854939,-0.2889527089318694,51.488545028079045,178063.70007319748,Great West Creatives,Museums and public galleries,11/27/2022
Hounslow,https://www.nationaltrust.org.uk/osterley-park-and-house?p=1356312744250,Osterley Park House,200003968705,E09000018,Jersey Road,Isleworth,NA,Osterley and Spring Grove,E05000363,514531.4000854939,-0.35018295814220685,51.48898096240243,178014.6000976935,Great West Creatives,Museums and public galleries,11/27/2022
Hounslow,www.hounslow.info › Arts & Culture › Historic Houses & Museums,Gunnersbury Park Museum,200003970213,E09000018,Gunnersbury Park,Popes Ln,NA,Brentford,E05000347,519046.9000854939,-0.2847558660696071,51.499033890563474,179236.80010989308,Great West Creatives,Museums and public galleries,11/27/2022
Hounslow,,Breakin Bread Records Ltd,100000000000,E09000018,15 Lionel Road North,Hounslow,,Brentford,E05000347,518266.0001221001,-0.2961117085360734,51.496251406839356,178909.00012169778,Great West Creatives,Music (office based businesses),11/27/2022
Hounslow,www.theboogietrap.com,The Boogie Trap,10091857586,E09000018,111 Power Road,Hounslow,,Turnham Green,E05000365,519558.000122197,-0.27757939136540793,51.49404706956033,178694.00012169778,Great West Creatives,Music rehearsal studios,11/27/2022
Hounslow,,O'briens,100000000000,E09000018,11 London Road,Hounslow,,Syon,E05000364,517258.0001221001,-0.3111729338184139,51.48170212735042,177267.00012169778,Great West Creatives,Music venues (all),11/27/2022
Hounslow,www.brewery-tap-brentford.co.uk,Brewery Tap,100000000000,E09000018,Catherine Wheel Road Hounslow,,,Syon,E05000364,517710.0001221001,-0.3046543222713042,51.48192282294071,177302.00012169778,Great West Creatives,Music venues (all),11/27/2022
Hounslow,www.watermans-arms.co.uk,Watermans Arms,100000000000,E09000018,1 Ferry Lane,Hounslow,,Syon,E05000364,518072.0001221001,-0.299382469079708,51.48347428554599,177483.00012169778,Great West Creatives,Music venues (all),11/27/2022
Hounslow,www.oneovertheait.co.uk,One Over The Ait,10093259940,E09000018,Unit 4 8,Kew Bridge Road,Hounslow,Brentford,E05000347,518938.000122197,-0.28675622220277985,51.48753537019598,177955.00012169778,Great West Creatives,Music venues (all),11/27/2022
Hounslow,www.theglobebrentford.com,The Globe,100000000000,E09000018,104 Windmill Road,Hounslow,,Brentford,E05000347,517443.0001221001,-0.30820061275638494,51.49001415101281,178196.00012169778,Great West Creatives,Music venues (all),11/27/2022
Hounslow,www.pilot-chiswick.co.uk,Pilot,200000000000,E09000018,56 Wellesley Road,Hounslow,,Turnham Green,E05000365,519667.000122197,-0.2761712583654063,51.48974550394527,178218.00012169778,Great West Creatives,Music venues (all),11/27/2022
Hounslow,http://www.visitgunnersbury.org/visit/,Gunnersbury Park,,E09000018,Popes Lane,Acton,,Brentford,E05000347,518546.8356933966,-0.29199999820994027,51.498000001158424,179110.08209230006,Great West Creatives,Outdoor spaces for cultural use,11/27/2022
Hounslow,,Osterley Park Hotel,,E09000018,764 Great West Road,Osterley,,Osterley and Spring Grove,E05000363,515818.0001221001,-0.33188291485337207,51.482556188721,177329.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Hare & Hounds,,E09000018,Windmill Lane,Osterley,Wyke Green,Osterley and Spring Grove,E05000363,515393.0001221001,-0.3376924483059926,51.49113743499133,178274.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Caspari Lounge & Restaurant,,E09000018,55 High Street,Brentford,,Syon,E05000364,517961.0001221001,-0.30096409862417894,51.483937892513865,177532.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Watermans Arms,,E09000018,1 Ferry Lane,Brentford,,Syon,E05000364,518072.0001221001,-0.2993824690795736,51.483474285549605,177483.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,O'Riordans Tavern,,E09000018,3 High Street,Brentford,,Brentford,E05000347,518680.0001221001,-0.29048156461149033,51.487301954111636,177923.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Express Tavern,,E09000018,56 Kew Bridge Road,Brentford,,Brentford,E05000347,518943.0001221001,-0.28664649147716287,51.488541030451366,178067.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Stable,,E09000018,"Unit 12, 8 Kew Bridge Road",Brentford,,Brentford,E05000347,518938.0001221001,-0.28675622220403835,51.487535370199616,177955.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,One Over The Ait,,E09000018,8 Kew Bridge Road,Brentford,,Brentford,E05000347,518938.0001221001,-0.28675622220403835,51.487535370199616,177955.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Beehive,,E09000018,227 High Street,Brentford,,Syon,E05000364,517702.0001221001,-0.3047211513729472,51.483227834262756,177447.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Royal Horse Guardsman,,E09000018,23 Ealing Road,Brentford,,Syon,E05000364,518130.0001221001,-0.2984581341884008,51.48586211768279,177750.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Princess Royal,,E09000018,107 Ealing Road,Brentford,,Brentford,E05000347,518034.0001221001,-0.2997626818774877,51.48796751356955,177982.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Black Dog Beer House,,E09000018,17 Albany Road,Brentford,,Syon,E05000364,517976.0001221001,-0.30070403815019964,51.485121254624566,177664.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Griffin,,E09000018,Brook Road South,Brentford,,Brentford,E05000347,517907.0001221001,-0.301638974284019,51.48670864784162,177839.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Royal Oak,,E09000018,38 New Road,Brentford,,Brentford,E05000347,517897.0001221001,-0.3017295063058696,51.4881489047713,177999.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,New Inn,,E09000018,1 New Rd,Brentford,,Brentford,E05000347,517882.0001221001,-0.3019397969046645,51.48830483829993,178016.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Brewery Tap,,E09000018,47 Catherine Wheel Road,Brentford,,Syon,E05000364,517768.0001221001,-0.3038256946115617,51.481739963672254,177283.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Kings Arms Bar & Hotel,,E09000018,19 Boston Manor Road,Brentford,,Syon,E05000364,517372.0001221001,-0.30932234157438904,51.48734130333368,177897.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Weir Bar & Dining Room,,E09000018,22-24 Market Place,Brentford,,Syon,E05000364,517479.0001221001,-0.3079408617564021,51.48302252721325,177419.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Six Bells at Brentford Lock,,E09000018,148 High Street,Brentford,,Syon,E05000364,517453.0001221001,-0.3083540877417476,51.48197626082179,177302.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Magpie & Crown,,E09000018,128 High Street,Brentford,,Syon,E05000364,517453.0001221001,-0.3083540877417476,51.48197626082179,177302.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Northumberland Arms,,E09000018,11 London Road,Brentford,,Syon,E05000364,517258.0001221001,-0.3111729338182805,51.48170212735404,177267.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Globe,,E09000018,104 Windmill Road,Brentford,,Brentford,E05000347,517424.0001221001,-0.30846919391069594,51.4901529268339,178211.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Lord Nelson,,E09000018,9 Enfield Road,Brentford,,Brentford,E05000347,517532.0001221001,-0.30687218557862633,51.491263046192984,178337.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Pilot,,E09000018,56 Wellesley Road,Chiswick,London,Turnham Green,E05000365,519704.0001221001,-0.2756364899380361,51.48979160143116,178224.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Gunnersbury,,E09000018,590 Chiswick High Road,Chiswick,London,Turnham Green,E05000365,519792.0001221001,-0.2742822090942466,51.49208299006088,178481.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Globe Bar at Clayton Hotel,,E09000018,626 Chiswick High Road,Chiswick,London,Turnham Green,E05000365,519613.0001221001,-0.276866398627572,51.49194112538584,178461.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Union Bar,,E09000018,"Unit 5, Chiswick Business Park, 566 Chiswick High Road",Chiswick,,Turnham Green,E05000365,519775.0001221001,-0.2744489183894847,51.49415393259571,178711.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,,Moot Bar,,E09000018,"Unit 3, Chiswick Business Park, 566 Chiswick High Road",Chiswick,,Turnham Green,E05000365,519922.0001221001,-0.27236141151278886,51.493349759733526,178625.00012210011,Great West Creatives,Pubs,11/27/2022
Ealing,,Ealing Park Tavern,,E09000009,222 South Ealing Road,South Ealing,,Northfield,E05000182,517689.0001221001,-0.3044601325756169,51.49531119616409,178791.00012210011,Great West Creatives,Pubs,11/27/2022
Hounslow,https://www.watermans.org.uk/,Watermans Art Centre,100023000000,E09000018,40 High St, Brentford,NA,Brentford,E05000347,517937.7375512097,-0.2996288588843563,51.48627848953497,177848.5656712859,Great West Creatives,Theatres,11/27/2022
