borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,easting,longitude,latitude,northing,Creative Enterprise Zones,Cultural Venue Type,runtime
Tower Hamlets,http://www.thisisliveart.co.uk/resources/study-room/,Live Art Development Agency's Study Room,6077530,E09000030,White Building, Unit 7 Queen's Yard ,White Post Lane,Bow East,E05009319,537030.110317108,-0.022112690097632323,51.54298590870141,184637.27011714817,Hackney Wick and Fish Island,Archives,11/27/2022
Tower Hamlets,www.artcoreint.net,Unit 8,6717569,E09000030,Unit 8 Riverbank Business Park,Dye House Lane,,Bow East,E05009319,537176.0790517933,-0.02036318392808569,51.53478204485671,183728.46799663902,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Tower Hamlets,www.spacestudios.org.uk,Britannia Works,6129407,E09000030,43-45 Dace Road,Tower Hamlets,,Bow East,E05009319,537002.1180679238,-0.022743328732548217,51.537753776135894,184054.38939641125,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Tower Hamlets,http://swanwharfproject.co.uk/contact/,Swan Wharf,6151658,E09000030,60 Dace Road,,,Bow East,E05009319,537080.1003093732,-0.02161937612407858,51.53773484509726,184054.39434234618,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Tower Hamlets,www.londonbookarts.org,Britannia Works,6135864,E09000030,56 Dace Road,,,Bow East,E05009319,537000.1185197483,-0.022771369019040758,51.53777223372489,184056.3888538977,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Tower Hamlets,www.spacestudios.org.uk,Bridget Riley,6180071,E09000030,Dace Road,Tower Hamlets,,Bow East,E05009319,537001.2782536562,-0.02275421365596882,51.53778210662961,184057.51869262132,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Tower Hamlets,www.stourspace.co.uk,Stour Space,6172062,E09000030,Stour Space,7 Roach Road,,Bow East,E05009319,537109.0932130355,-0.021095068063278585,51.540181023320464,184327.33954973926,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Tower Hamlets,https://www.motherx.co.uk/,Pearl & Coutts Studios,6210818,E09000030,9 Queens Yard ,White Post Lane,,Bow East,E05009319,537014.1140367191,-0.022349894946119577,51.542837027546334,184620.27261904354,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Tower Hamlets,www.arbeit.org.uk / www.arebyte.com,White Post Lane,6077533,E09000030,49 White Post Lane Unit 4,Hackney Wick,,Bow East,E05009319,536934.1322740427,-0.02350162746937539,51.54288339559912,184623.26682990347,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Hackney,https://mainyardstudios.co.uk,,10008337819,E09000012,90 Wallis Rd ,,,Hackney Wick,E05009374,536983.1204102921,-0.022729636245093623,51.544390167200106,184792.23486979294,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Hackney,cellprojects.org,,10008346528,E09000012,115 WALLIS ROAD,,,Hackney Wick,E05009374,536903.1385420929,-0.023869727284914263,51.54470611656815,184825.22289078496,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Hackney,www.arbeit.org.uk / www.arebyte.com,117 Wallis Road,10008336713,E09000012,117 Wallis road ,Hackney Wick,,Hackney Wick,E05009374,536928.1328179843,-0.023507873157731084,51.54473599781331,184829.22365991952,Hackney Wick and Fish Island,Artists workspaces,11/27/2022
Tower Hamlets,http://www.arebyte.com/#,Arebyte,6077533,E09000030,Unit 4,49 White Post Lane,NA,Bow East,E05009319,537158.0001221001,-0.02190952089508721,51.542373797270294,184516.00012210011,Hackney Wick and Fish Island,Commercial galleries,11/27/2022
Tower Hamlets,http://smokehousegallery.org/#,Forman's Smokehouse Gallery,6151026,E09000030,Stour Road,Fish Island,NA,Bow East,E05009319,537327.120117195,-0.01961174556490397,51.53911538471839,184158.01007079333,Hackney Wick and Fish Island,Commercial galleries,11/27/2022
Tower Hamlets,www.arbeit.org.uk / www.arebyte.com,Arbeit / Arebyte,6077533,E09000030,White Post Lane,49 White Post Lane Unit 4,Hackney Wick,,,537158.0001221001,-0.02190952089508721,51.542373797270294,184516.00012210011,Hackney Wick and Fish Island,Creative workspaces,11/27/2022
Tower Hamlets,http://swanwharfproject.co.uk/contact/,The Hive,6151658,E09000030,Swan Wharf,60 Dace Road,,,,537304.3300780952,-0.020022508122071823,51.537224567789565,183947.00012210011,Hackney Wick and Fish Island,Creative workspaces,11/27/2022
Tower Hamlets,www.stourspace.co.uk,Stour Space,6172062,E09000030,Stour Space,Stour Space,7 Roach Road,,,537333.0701293945,-0.01950149323213986,51.53967823530686,184220.80010989308,Hackney Wick and Fish Island,Creative workspaces,11/27/2022
Hackney,https://mainyardstudios.co.uk/hackney-wick/,Main Yard Studios,100023018517,E09000012,Main Yard Studios,90 Wallis Road,Hackney Wick,,,537207.0001221001,-0.021137394401544402,51.54388070047827,184685.00012210011,Hackney Wick and Fish Island,Creative workspaces,11/27/2022
Hackney,https://www.growhackneystudios.com/home/,Grow Studios,100023018517,E09000012,Grow Studios,Main Yard,Wallis Road,,,537207.0001221001,-0.021137394401544402,51.54388070047827,184685.00012210011,Hackney Wick and Fish Island,Creative workspaces,11/27/2022
Tower Hamlets,https://theyardtheatre.co.uk,The Yard,6077552,E09000030,2A Queens Yard,,,Bow East,E05009319,536943.130329375,-0.02338244103278772,51.54263858650894,184596.2730190672,Hackney Wick and Fish Island,Dance performance venues,11/27/2022
Hackney,http://waynemcgregor.com,Studio Wayne McGregor,10008348301,E09000012,14 East Bay lane,,,Hackney Wick,E05009374,536881.2423369922,-0.02406695893096881,51.54744384582722,185129.2283676379,Hackney Wick and Fish Island,Dance performance venues,11/27/2022
Hackney,https://theamta.com/gb/,American Musical Theatre Academy ,10008349004,E09000012,28 Wallis Road,,,Hackney Wick,E05009374,536841.1529372098,-0.024787003581042688,51.544172993354636,184764.23157769907,Hackney Wick and Fish Island,Dance rehearsal studios,11/27/2022
Hackney,http://waynemcgregor.com,Studio Wayne McGregor,10008348301,E09000012,14 East Bay lane,,,Hackney Wick,E05009374,536881.2423369922,-0.02406695893096881,51.54744384582722,185129.2283676379,Hackney Wick and Fish Island,Dance rehearsal studios,11/27/2022
Tower Hamlets,http://www.maeslondon.com/,MAES London,6713918,E09000030,202 Riverbank Business Park,1 Dye House Lane,455 Wick Lane,Bow East,E05009319,537176.0790481172,-0.02036240403994123,51.53480001716644,183730.4675820428,Hackney Wick and Fish Island,Fashion and design,11/27/2022
Hackney,http://www.londontradition.com/,London Tradition Ltd,1.00024E+11,E09000012,96B Wallis Road,,,Hackney Wick,E05009374,536993.1482835301,-0.022600686862188454,51.54402792812236,184752.2038358472,Hackney Wick and Fish Island,Fashion and design,11/27/2022
Hackney,http://www.propositiongallery.co.uk/,Proposition,10008241118,E09000012,Studio 3A,20 Feldstead Street,,Hackney Wick,E05009374,536713.1821853451,-0.026634812841121777,51.54413211633294,184756.2250228902,Hackney Wick and Fish Island,Fashion and design,11/27/2022
Tower Hamlets,,The Yard Theatre (Regular LGBTQ+ Programming),,,Queen's Yard,,,,,536942.9584683643,-0.023384897015220073,51.54263911974798,184596.3276965937,Hackney Wick and Fish Island,LGBT+ night time venues,11/27/2022
Tower Hamlets,http://londonbookarts.tumblr.com/,London Centre For Book Arts,6180045,E09000030,London Centre For Book Arts,"Unit 18, Ground Floor Britannia Works",Dace Road,Bow East,E05009319,537001.2782536562,-0.02275421365596882,51.53778210662961,184057.51869262132,Hackney Wick and Fish Island,Makerspaces,11/27/2022
Tower Hamlets,www.swanwharf.org/,Swan Wharf Workshop,6151658,E09000030,Swan Wharf Workshop,60 Dace Road,Hackney,Bow East,E05009319,537080.4302342408,-0.02161462094256665,51.53773476498154,184054.39436327125,Hackney Wick and Fish Island,Makerspaces,11/27/2022
Hackney,,Half Baked Records Ltd,100000000000,E09000012,90 Wallis Road,Hackney,,Hackney Wick,E05009374,537207.000122197,-0.021137394400384295,51.54388070047281,184685.00012149662,Hackney Wick and Fish Island,Music (office based businesses),11/27/2022
Hackney,www.lshspaces.com,Lsh Spaces,10091898280,E09000012,Atlas Wharf Berkshire Road,Hackney,,Hackney Wick,E05009374,537077.000122197,-0.022999424474201547,51.54418190883753,184715.00012149662,Hackney Wick and Fish Island,Music rehearsal studios,11/27/2022
