borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,easting,longitude,latitude,northing,Creative Enterprise Zones,Cultural Venue Type,runtime
Lewisham,https://www.iriedancetheatre.org/,IRIE! dance theatre,10093394257,E09000023,Moonshot Centre ,Fordham Park ,Angus Street,New Cross,E05000449,536310.1283936375,-0.0353019716561354,51.477856808382086,177371.67910076567,SHAPES Lewisham (Deptford and New Cross),Archives,11/27/2022
Lewisham,https://www.gold.ac.uk/make/,MAKE Resource Centre Collections (formerly the Women's Art Library),100023000000,E09000023,London University: Goldsmiths College The Library Lewisham Way ,,New Cross,Brockley,E05000439,536316.117416653,-0.03537519941363767,51.474143961065394,176958.75377573958,SHAPES Lewisham (Deptford and New Cross),Archives,11/27/2022
Lewisham,https://www.gold.ac.uk/library/collections/special-collections/,London University: Goldsmiths Library: Special Collections and Archives,100023000000,E09000023,Goldsmiths University of London ,New Cross,,Brockley,E05000439,536316.117416653,-0.03537519941363767,51.474143961065394,176958.75377573958,SHAPES Lewisham (Deptford and New Cross),Archives,11/27/2022
Lewisham,aptstudios.org,,100000000000,E09000023,Harold Wharf,6 Creekside,,New Cross,E05000449,537272.8960373048,-0.02149665324236014,51.47640150768818,177235.68415437313,SHAPES Lewisham (Deptford and New Cross),Artists workspaces,11/27/2022
Greenwich,www.acava.org,Norman House,10010217066,E09000011,Norman House,125 Greenwich High Rd,,Greenwich West,E05000222,537571.8244742319,-0.017176848793958206,51.476724195396926,177279.67129321204,SHAPES Lewisham (Deptford and New Cross),Artists workspaces,11/27/2022
Lewisham,www.arthub.org.uk,Art Hub Deptford,10093391623,E09000023,5-9 Creekside,,,New Cross,E05000449,537320.8872893605,-0.020774388991739758,51.47711773617666,177316.6679427282,SHAPES Lewisham (Deptford and New Cross),Artists workspaces,11/27/2022
Lewisham,www.cockpitarts.com,,200000000000,E09000023,Cockpit Arts Deptford,18 - 22 Creekside,,New Cross,E05000449,537324.8920639949,-0.020651416477554294,51.47862646579653,177484.63614035427,SHAPES Lewisham (Deptford and New Cross),Artists workspaces,11/27/2022
Lewisham,www.theoldpolicestation.org/,The Old Police Station,100000000000,E09000023,114 Amersham Vale,,,New Cross,E05000449,536544.0790680903,-0.03186368673615841,51.47944481587567,177554.64035335404,SHAPES Lewisham (Deptford and New Cross),Artists workspaces,11/27/2022
Lewisham,www.acme.org.uk,Childers Street,200001000000,E09000023,165 Childers Street,Deptford,,Evelyn,E05000443,536331.1358855653,-0.034814615239131104,51.48215624226716,177850.59186877165,SHAPES Lewisham (Deptford and New Cross),Artists workspaces,11/27/2022
Lewisham,www.artistic-spaces.co.uk,"Unit 10, Elizabeth Trading Estate",10093390732,E09000023,Juno Way,South Bermondsey,,New Cross,E05000449,535644.2910910617,-0.0446817498714416,51.48279792331752,177903.59934650053,SHAPES Lewisham (Deptford and New Cross),Artists workspaces,11/27/2022
